Municipio,Link_Executivo,API_Executivo,Link_Legislativo,API_Legislativo,
Afonso Cláudio,https://afonsoclaudio-es.portaltp.com.br/,portaltp,https://cmafonsoclaudio-es.portaltp.com.br/,portaltp,
Água Doce do Norte,https://aguadocedonorte-es.portaltp.com.br/,portaltp,https://cmaguadocedonorte-es.portaltp.com.br/,portaltp,
Águia Branca,https://aguiabranca-es.portaltp.com.br/,portaltp,https://cmaguiabranca-es.portaltp.com.br/,portaltp,
Alegre,https://alegre-es.portaltp.com.br/,portaltp,https://cmalegre-es.portaltp.com.br/,portaltp,
Alfredo Chaves,https://alfredochaves-es.portaltp.com.br/,portaltp,https://cmalfredochaves-es.portaltp.com.br/,portaltp,
Alto Rio Novo,https://altorionovo-es.portaltp.com.br/,portaltp / erro,https://cmaltorionovo-es.portaltp.com.br/,portaltp,
Anchieta,https://www.anchieta.es.gov.br/transparencia/,agape,http://www.camaraanchieta.es.gov.br/transparencia,agape,
Apiacá,https://apiaca-es.portaltp.com.br/,portaltp,https://apiaca.es.leg.br/transparencia.php,NT,
Aracruz,,,,,
Atilio Vivácqua,https://www.pmav.es.gov.br/transparencia,agape,http://transparencia.cmav.es.gov.br/,portalfacil,
Baixo Guandú,https://baixoguandu-es.portaltp.com.br/,portaltp,https://cmbaixoguandu-es.portaltp.com.br/,portaltp,
Barra de São Francisco,https://barradesaofrancisco-es.portaltp.com.br/,portaltp,https://cmbarradesaofrancisco-es.portaltp.com.br/,portaltp,
Boa Esperanca,http://boaesperanca-es.portaltp.com.br/,portaltp,https://www.boaesperanca.es.leg.br/transparencia,agape,
Bom Jesus do Norte,https://bomjesusdonorte-es.portaltp.com.br/,portaltp,https://bomjesusdonorte-es.portaltp.com.br/,portaltp,
Brejetuba,https://www.brejetuba.es.gov.br/transparencia,agape,http://cmbrejetuba.transparencia-vdf.com.br/,NT,vdf sistemas
Cachoeiro de Itapemirim,https://transparencia.cachoeiro.es.gov.br/api,creative,http://transparencia.cachoeirodeitapemirim.es.leg.br/transparencia,agape,
Cariacica,fora do ar,,http://www.camaracariacica.es.gov.br/transparencia,agape,
Castelo,https://castelo-es.portaltp.com.br/,portaltp,http://cmcastelo.transparencia-vdf.com.br/Rh,NT,vdf sistemas
Colatina,https://colatina-es.portaltp.com.br/,portaltp,http://www.camaracolatina.es.gov.br/transparencia,agape,
Conceição da Barra,http://177.185.206.241/transparencia,agape,https://cmconceicaodabarra-es.portaltp.com.br/,portaltp,
Conceição do Castelo,http://conceicaodocastelo-es.portaltp.com.br/,portaltp,https://cmconceicaodocastelo-es.portaltp.com.br/,portaltp,
Divino de São Lourenço,http://divinodesaolourenco-es.portaltp.com.br/,portaltp,não tem,NT,
Domingos Martins,https://domingosmartins-es.portaltp.com.br/,portaltp,https://cmdomingosmartins-es.portaltp.com.br/,portaltp,
Dores do RioPreto,http://transparencia.pmdrp.es.gov.br/,portalfacil,https://cmdoresdoriopreto-es.portaltp.com.br/,portaltp,
Ecoporanga,https://ecoporanga-es.portaltp.com.br/,portaltp,http://cmecoporanga-es.portaltp.com.br/,portaltp,
Fundão,https://fundao-es.portaltp.com.br/,portaltp,link quebrado,NT,
Governador Lindenberg,https://governadorlindenberg-es.portaltp.com.br/,portaltp,https://cmgovernadorlindenberg-es.portaltp.com.br/,portaltp,
Guaçuí,https://guacui-es.portaltp.com.br/,portaltp,http://www.cmguacui.es.gov.br/transparencia,agape,
Guarapari,http://servicos-pmg.guarapari.es.gov.br:8000/,NT,https://cmguarapari-es.portaltp.com.br/,portaltp,migrando os dados
Ibatiba,https://ibatiba-es.portaltp.com.br/,portaltp,https://cmibatiba-es.portaltp.com.br/,portaltp,
Ibiracu,https://ibiracu-es.portaltp.com.br/,portaltp,http://cmibiracu-es.portaltp.com.br/,portaltp,
Ibitirama,https://ibitirama-es.portaltp.com.br/,portaltp,http://cmibitirama.transparencia-vdf.com.br/,NT,vdf sistemas
Iconha,http://iconha-es.portaltp.com.br/,portaltp,http://cmiconha-es.portaltp.com.br/,portaltp,
Irupi,https://irupi-es.portaltp.com.br/,portaltp,https://cmirupi-es.portaltp.com.br/,portaltp,
Itaguacu,http://itaguacu-es.portaltp.com.br/,portaltp,http://cmitaguacu-es.portaltp.com.br/,portaltp,
Itapemirim,http://transparencia.itapemirim.es.gov.br/,NT,http://www.itapemirim.es.leg.br/transparencia,agape,
Itarana,https://itarana-es.portaltp.com.br/,portaltp,http://www.camaraitarana.es.gov.br/transparencia,agape,
Iúna,https://iuna-es.portaltp.com.br/,portaltp,https://cmiuna-es.portaltp.com.br/,portaltp,
Jaguare,http://www.jaguare.es.gov.br/transparencia,agape,https://cmjaguare-es.portaltp.com.br/,portaltp,
Jeronimo Monteiro,https://jeronimomonteiro-es.portaltp.com.br/,portaltp,http://www.jeronimomonteiro.es.leg.br/transparencia,portalfacil,
João Neiva,https://joaoneiva-es.portaltp.com.br/,portaltp,https://cmjoaoneiva-es.portaltp.com.br/,portaltp,
Laranja da Terra,https://laranjadaterra-es.portaltp.com.br/,portaltp,https://cmlaranjadaterra-es.portaltp.com.br/,portaltp,
Linhares,https://linhares-es.portaltp.com.br/,portaltp,https://cmlinhares-es.portaltp.com.br/,portaltp,
