Municipio,Cidade,Link_Executivo,API_Executivo,Link_Legislativo,API_Legislativo,
Afonso Cláudio,Afonso_Claudio,https://afonsoclaudio-es.portaltp.com.br/,portaltp,https://cmafonsoclaudio-es.portaltp.com.br/,portaltp,
Água Doce do Norte,Agua_Doce_do_Norte,https://aguadocedonorte-es.portaltp.com.br/,portaltp,https://cmaguadocedonorte-es.portaltp.com.br/,portaltp,
Águia Branca,Aguia_Branca,https://aguiabranca-es.portaltp.com.br/,portaltp,https://cmaguiabranca-es.portaltp.com.br/,portaltp,
Alegre,Alegre,https://alegre-es.portaltp.com.br/,portaltp,https://cmalegre-es.portaltp.com.br/,portaltp,
Alfredo Chaves,Alfredo_Chaves,https://alfredochaves-es.portaltp.com.br/,portaltp,https://cmalfredochaves-es.portaltp.com.br/,portaltp,
Alto Rio Novo,Alto_Rio_Novo,https://altorionovo-es.portaltp.com.br/,portaltp / erro,https://cmaltorionovo-es.portaltp.com.br/,portaltp,
Anchieta,Anchieta,https://www.anchieta.es.gov.br/transparencia/,agape,http://www.camaraanchieta.es.gov.br/transparencia,agape,
Apiacá,Apiaca,https://apiaca-es.portaltp.com.br/,portaltp,https://apiaca.es.leg.br/transparencia.php,NT,
Aracruz,Aracruz,,,,,
Atilio Vivácqua,Atilio_Vivacqua,https://www.pmav.es.gov.br/transparencia,agape,http://transparencia.cmav.es.gov.br/,portalfacil,
Baixo Guandú,Baixo_Guandu,https://baixoguandu-es.portaltp.com.br/,portaltp,https://cmbaixoguandu-es.portaltp.com.br/,portaltp,
Barra de São Francisco,Barra_de_Sao_Francisco,https://barradesaofrancisco-es.portaltp.com.br/,portaltp,https://cmbarradesaofrancisco-es.portaltp.com.br/,portaltp,
Boa Esperanca,Boa_Esperanca,http://boaesperanca-es.portaltp.com.br/,portaltp,https://www.boaesperanca.es.leg.br/transparencia,agape,
Bom Jesus do Norte,Bom_Jesus_do_Norte,https://bomjesusdonorte-es.portaltp.com.br/,portaltp,https://bomjesusdonorte-es.portaltp.com.br/,portaltp,
Brejetuba,Brejetuba,https://www.brejetuba.es.gov.br/transparencia,agape,http://cmbrejetuba.transparencia-vdf.com.br/,NT,vdf sistemas
Cachoeiro de Itapemirim,Cachoeiro_de_Itapemirim,https://transparencia.cachoeiro.es.gov.br/api,creative,http://transparencia.cachoeirodeitapemirim.es.leg.br/transparencia,agape,
Cariacica,Cariacica,fora do ar,,http://www.camaracariacica.es.gov.br/transparencia,agape,
Castelo,Castelo,https://castelo-es.portaltp.com.br/,portaltp,http://cmcastelo.transparencia-vdf.com.br/Rh,NT,vdf sistemas
Colatina,Colatina,https://colatina-es.portaltp.com.br/,portaltp,http://www.camaracolatina.es.gov.br/transparencia,agape,
Conceição da Barra,Conceicao_da_Barra,http://177.185.206.241/transparencia,agape,https://cmconceicaodabarra-es.portaltp.com.br/,portaltp,
Conceição do Castelo,Conceicaoo_do_Castelo,http://conceicaodocastelo-es.portaltp.com.br/,portaltp,https://cmconceicaodocastelo-es.portaltp.com.br/,portaltp,
Divino de São Lourenço,Divino_de_Sao_Lourenco,http://divinodesaolourenco-es.portaltp.com.br/,portaltp,não tem,NT,
Domingos Martins,Domingos_Martins,https://domingosmartins-es.portaltp.com.br/,portaltp,https://cmdomingosmartins-es.portaltp.com.br/,portaltp,
Dores do RioPreto,Dores_do_RioPreto,http://transparencia.pmdrp.es.gov.br/,portalfacil,https://cmdoresdoriopreto-es.portaltp.com.br/,portaltp,
Ecoporanga,Ecoporanga,https://ecoporanga-es.portaltp.com.br/,portaltp,http://cmecoporanga-es.portaltp.com.br/,portaltp,
Fundão,Fundao,https://fundao-es.portaltp.com.br/,portaltp,link quebrado,NT,
Governador Lindenberg,Governador_Lindenberg,https://governadorlindenberg-es.portaltp.com.br/,portaltp,https://cmgovernadorlindenberg-es.portaltp.com.br/,portaltp,
Guaçuí,Guacui,https://guacui-es.portaltp.com.br/,portaltp,http://www.cmguacui.es.gov.br/transparencia,agape,
Guarapari,Guarapari,http://servicos-pmg.guarapari.es.gov.br:8000/,NT,https://cmguarapari-es.portaltp.com.br/,portaltp,migrando os dados
